peptide,vial_size,source_url,scraped_at,volume_ml,concentration_mg_ml
BPC-157,10 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-10-mg-vial-dosage-protocol/,2026-08-06T04:25:15+00:00,,
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,,
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,3.0,33.33
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,3.0,16.67
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,,
